,Index,JSON Data,Date,City,Country,Latitude,Longitude,Temperature,Humidity,Clouds,Wind Speed
16,16,"{'coord': {'lon': -175.2, 'lat': -21.2}, 'weather': [{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}], 'base': 'stations', 'main': {'temp': 73.56, 'feels_like': 74.28, 'temp_min': 73.56, 'temp_max': 73.56, 'pressure': 1023, 'humidity': 78}, 'visibility': 10000, 'wind': {'speed': 17.27, 'deg': 90, 'gust': 34.52}, 'clouds': {'all': 40}, 'dt': 1660681148, 'sys': {'type': 1, 'id': 7285, 'country': 'TO', 'sunrise': 1660759338, 'sunset': 1660800457}, 'timezone': 46800, 'id': 4032243, 'name': 'Vaini', 'cod': 200}",1660681148,Vaini,TO,-21.2,-175.2,73.56,78.0,40.0,17.27
17,17,"{'coord': {'lon': 107.3397, 'lat': 53.1939}, 'weather': [{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}], 'base': 'stations', 'main': {'temp': 53.98, 'feels_like': 52.5, 'temp_min': 53.98, 'temp_max': 53.98, 'pressure': 1008, 'humidity': 73, 'sea_level': 1008, 'grnd_level': 953}, 'visibility': 10000, 'wind': {'speed': 7.34, 'deg': 307, 'gust': 11.61}, 'clouds': {'all': 40}, 'dt': 1660681150, 'sys': {'country': 'RU', 'sunrise': 1660685632, 'sunset': 1660738563}, 'timezone': 28800, 'id': 2022143, 'name': 'Khuzhir', 'cod': 200}",1660681150,Khuzhir,RU,53.1939,107.3397,53.98,73.0,40.0,7.34
18,18,"{'coord': {'lon': -69.3632, 'lat': 77.484}, 'weather': [{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}], 'base': 'stations', 'main': {'temp': 42.94, 'feels_like': 39.33, 'temp_min': 42.94, 'temp_max': 42.94, 'pressure': 1003, 'humidity': 56, 'sea_level': 1003, 'grnd_level': 999}, 'visibility': 10000, 'wind': {'speed': 5.91, 'deg': 71, 'gust': 8.59}, 'clouds': {'all': 100}, 'dt': 1660681152, 'sys': {'country': 'GL', 'sunrise': 0, 'sunset': 0}, 'timezone': -10800, 'id': 3831208, 'name': 'Qaanaaq', 'cod': 200}",1660681152,Qaanaaq,GL,77.484,-69.3632,42.94,56.0,100.0,5.91
19,19,"{'coord': {'lon': -17.1, 'lat': 32.6667}, 'weather': [{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}], 'base': 'stations', 'main': {'temp': 75.29, 'feels_like': 76.14, 'temp_min': 74.03, 'temp_max': 76.71, 'pressure': 1018, 'humidity': 77, 'sea_level': 1018, 'grnd_level': 1018}, 'visibility': 10000, 'wind': {'speed': 7.25, 'deg': 37, 'gust': 9.15}, 'clouds': {'all': 10}, 'dt': 1660681154, 'sys': {'type': 2, 'id': 2008291, 'country': 'PT', 'sunrise': 1660631559, 'sunset': 1660679582}, 'timezone': 3600, 'id': 2264557, 'name': 'Ponta do Sol', 'cod': 200}",1660681154,Ponta do Sol,PT,32.6667,-17.1,75.29,77.0,10.0,7.25
20,20,"{'coord': {'lon': 97.2, 'lat': 40.2833}, 'weather': [{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}], 'base': 'stations', 'main': {'temp': 78.8, 'feels_like': 78.8, 'temp_min': 78.8, 'temp_max': 78.8, 'pressure': 1001, 'humidity': 16, 'sea_level': 1001, 'grnd_level': 850}, 'visibility': 10000, 'wind': {'speed': 6.64, 'deg': 13, 'gust': 9.91}, 'clouds': {'all': 100}, 'dt': 1660681155, 'sys': {'country': 'CN', 'sunrise': 1660689833, 'sunset': 1660739228}, 'timezone': 28800, 'id': 1528998, 'name': 'Yumen', 'cod': 200}",1660681155,Yumen,CN,40.2833,97.2,78.8,16.0,100.0,6.64
21,21,"{'coord': {'lon': 10.0805, 'lat': 52.6226}, 'weather': [{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}], 'base': 'stations', 'main': {'temp': 73.99, 'feels_like': 74.01, 'temp_min': 71.17, 'temp_max': 78.53, 'pressure': 1009, 'humidity': 62}, 'visibility': 10000, 'wind': {'speed': 3.44, 'deg': 350}, 'clouds': {'all': 75}, 'dt': 1660681157, 'sys': {'type': 1, 'id': 1824, 'country': 'DE', 'sunrise': 1660622602, 'sunset': 1660675495}, 'timezone': 7200, 'id': 2940213, 'name': 'Celle', 'cod': 200}",1660681157,Celle,DE,52.6226,10.0805,73.99,62.0,75.0,3.44
22,22,"{'coord': {'lon': 93.45, 'lat': 42.8}, 'weather': [{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}], 'base': 'stations', 'main': {'temp': 85.17, 'feels_like': 82.29, 'temp_min': 85.17, 'temp_max': 85.17, 'pressure': 998, 'humidity': 22, 'sea_level': 998, 'grnd_level': 919}, 'visibility': 10000, 'wind': {'speed': 18.12, 'deg': 43, 'gust': 25.46}, 'clouds': {'all': 100}, 'dt': 1660681159, 'sys': {'country': 'CN', 'sunrise': 1660690456, 'sunset': 1660740405}, 'timezone': 28800, 'id': 1529484, 'name': 'Kumul', 'cod': 200}",1660681159,Kumul,CN,42.8,93.45,85.17,22.0,100.0,18.12
23,23,"{'coord': {'lon': -86.4958, 'lat': 30.3935}, 'weather': [{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}], 'base': 'stations', 'main': {'temp': 89.78, 'feels_like': 102.38, 'temp_min': 88, 'temp_max': 93.97, 'pressure': 1012, 'humidity': 70}, 'visibility': 10000, 'wind': {'speed': 19.57, 'deg': 330, 'gust': 37.98}, 'clouds': {'all': 20}, 'dt': 1660680909, 'sys': {'type': 2, 'id': 2074287, 'country': 'US', 'sunrise': 1660648413, 'sunset': 1660696033}, 'timezone': -18000, 'id': 4153188, 'name': 'Destin', 'cod': 200}",1660680909,Destin,US,30.3935,-86.4958,89.78,70.0,20.0,19.57
24,24,"{'coord': {'lon': -64.9, 'lat': -14.8333}, 'weather': [{'id': 711, 'main': 'Smoke', 'description': 'smoke', 'icon': '50d'}], 'base': 'stations', 'main': {'temp': 89.58, 'feels_like': 97.63, 'temp_min': 89.58, 'temp_max': 89.58, 'pressure': 1006, 'humidity': 58}, 'visibility': 5000, 'wind': {'speed': 11.5, 'deg': 310}, 'clouds': {'all': 75}, 'dt': 1660681163, 'sys': {'type': 1, 'id': 8641, 'country': 'BO', 'sunrise': 1660646117, 'sunset': 1660687965}, 'timezone': -14400, 'id': 3902377, 'name': 'La Santisima Trinidad', 'cod': 200}",1660681163,La Santisima Trinidad,BO,-14.8333,-64.9,89.58,58.0,75.0,11.5
25,25,"{'coord': {'lon': -6.3865, 'lat': 58.2093}, 'weather': [{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}], 'base': 'stations', 'main': {'temp': 50.83, 'feels_like': 48.81, 'temp_min': 50.04, 'temp_max': 51.76, 'pressure': 1019, 'humidity': 68}, 'visibility': 10000, 'wind': {'speed': 13.8, 'deg': 20}, 'clouds': {'all': 75}, 'dt': 1660681165, 'sys': {'type': 2, 'id': 2043200, 'country': 'GB', 'sunrise': 1660625393, 'sunset': 1660680607}, 'timezone': 3600, 'id': 2636790, 'name': 'Stornoway', 'cod': 200}",1660681165,Stornoway,GB,58.2093,-6.3865,50.83,68.0,75.0,13.8
26,26,"{'coord': {'lon': -159.319, 'lat': 22.0752}, 'weather': [{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}], 'base': 'stations', 'main': {'temp': 81.37, 'feels_like': 84.74, 'temp_min': 79.12, 'temp_max': 82.47, 'pressure': 1017, 'humidity': 67}, 'visibility': 10000, 'wind': {'speed': 8.05, 'deg': 40}, 'clouds': {'all': 0}, 'dt': 1660680998, 'sys': {'type': 2, 'id': 2001562, 'country': 'US', 'sunrise': 1660666523, 'sunset': 1660712874}, 'timezone': -36000, 'id': 5848280, 'name': 'Kapaa', 'cod': 200}",1660680998,Kapaa,US,22.0752,-159.319,81.37,67.0,0.0,8.05
27,27,"{'coord': {'lon': -35.9567, 'lat': -9.5972}, 'weather': [{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}], 'base': 'stations', 'main': {'temp': 73.33, 'feels_like': 74.5, 'temp_min': 73.33, 'temp_max': 73.33, 'pressure': 1016, 'humidity': 88, 'sea_level': 1016, 'grnd_level': 1002}, 'visibility': 10000, 'wind': {'speed': 8.01, 'deg': 118, 'gust': 16.46}, 'clouds': {'all': 20}, 'dt': 1660681110, 'sys': {'type': 1, 'id': 8413, 'country': 'BR', 'sunrise': 1660638855, 'sunset': 1660681336}, 'timezone': -10800, 'id': 3392126, 'name': 'Pilar', 'cod': 200}",1660681110,Pilar,BR,-9.5972,-35.9567,73.33,88.0,20.0,8.01
28,28,"{'cod': '404', 'message': 'city not found'}",NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0
29,29,"{'coord': {'lon': 131.5875, 'lat': 43.0983}, 'weather': [{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}], 'base': 'stations', 'main': {'temp': 65.43, 'feels_like': 65.62, 'temp_min': 65.43, 'temp_max': 65.43, 'pressure': 1008, 'humidity': 84, 'sea_level': 1008, 'grnd_level': 1002}, 'visibility': 10000, 'wind': {'speed': 3.67, 'deg': 360, 'gust': 4.23}, 'clouds': {'all': 6}, 'dt': 1660681171, 'sys': {'country': 'RU', 'sunrise': 1660681261, 'sunset': 1660731296}, 'timezone': 36000, 'id': 2017626, 'name': 'Primorskiy', 'cod': 200}",1660681171,Primorskiy,RU,43.0983,131.5875,65.43,84.0,6.0,3.67
30,30,"{'coord': {'lon': 80.5464, 'lat': 73.5069}, 'weather': [{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}], 'base': 'stations', 'main': {'temp': 41.05, 'feels_like': 30.51, 'temp_min': 41.05, 'temp_max': 41.05, 'pressure': 1013, 'humidity': 88, 'sea_level': 1013, 'grnd_level': 1008}, 'visibility': 10000, 'wind': {'speed': 26.51, 'deg': 25, 'gust': 35.61}, 'clouds': {'all': 100}, 'dt': 1660681173, 'sys': {'country': 'RU', 'sunrise': 1660682587, 'sunset': 1660754467}, 'timezone': 25200, 'id': 1507390, 'name': 'Dikson', 'cod': 200}",1660681173,Dikson,RU,73.5069,80.5464,41.05,88.0,100.0,26.51
31,31,"{'coord': {'lon': 102.2655, 'lat': -3.8004}, 'weather': [{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}], 'base': 'stations', 'main': {'temp': 75.24, 'feels_like': 76.55, 'temp_min': 75.24, 'temp_max': 75.24, 'pressure': 1010, 'humidity': 87, 'sea_level': 1010, 'grnd_level': 1008}, 'visibility': 10000, 'wind': {'speed': 4.14, 'deg': 75, 'gust': 5.26}, 'clouds': {'all': 83}, 'dt': 1660681175, 'sys': {'country': 'ID', 'sunrise': 1660691729, 'sunset': 1660734901}, 'timezone': 25200, 'id': 1649150, 'name': 'Bengkulu', 'cod': 200}",1660681175,Bengkulu,ID,-3.8004,102.2655,75.24,87.0,83.0,4.14
32,32,"{'coord': {'lon': -73.9662, 'lat': 42.6001}, 'weather': [{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}], 'base': 'stations', 'main': {'temp': 83.08, 'feels_like': 81.79, 'temp_min': 80.37, 'temp_max': 85.95, 'pressure': 1015, 'humidity': 35}, 'visibility': 10000, 'wind': {'speed': 1.99, 'deg': 196, 'gust': 7}, 'clouds': {'all': 100}, 'dt': 1660680907, 'sys': {'type': 2, 'id': 19530, 'country': 'US', 'sunrise': 1660644224, 'sunset': 1660694209}, 'timezone': -14400, 'id': 5106841, 'name': 'Albany', 'cod': 200}",1660680907,Albany,US,42.6001,-73.9662,83.08,35.0,100.0,1.99
33,33,"{'coord': {'lon': 57.7, 'lat': -20.4081}, 'weather': [{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}], 'base': 'stations', 'main': {'temp': 68.29, 'feels_like': 69.24, 'temp_min': 68.25, 'temp_max': 68.29, 'pressure': 1021, 'humidity': 94}, 'visibility': 10000, 'wind': {'speed': 4.61, 'deg': 320}, 'clouds': {'all': 40}, 'dt': 1660681179, 'sys': {'type': 1, 'id': 2061, 'country': 'MU', 'sunrise': 1660703419, 'sunset': 1660744600}, 'timezone': 14400, 'id': 934322, 'name': 'Mahébourg', 'cod': 200}",1660681179,Mahébourg,MU,-20.4081,57.7,68.29,94.0,40.0,4.61
34,34,"{'coord': {'lon': -110.6974, 'lat': 35.0242}, 'weather': [{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}], 'base': 'stations', 'main': {'temp': 82.58, 'feels_like': 82.94, 'temp_min': 82.58, 'temp_max': 82.58, 'pressure': 1020, 'humidity': 47}, 'visibility': 10000, 'wind': {'speed': 3.44, 'deg': 0}, 'clouds': {'all': 0}, 'dt': 1660681033, 'sys': {'type': 1, 'id': 4534, 'country': 'US', 'sunrise': 1660653823, 'sunset': 1660702239}, 'timezone': -25200, 'id': 5321473, 'name': 'Winslow', 'cod': 200}",1660681033,Winslow,US,35.0242,-110.6974,82.58,47.0,0.0,3.44
35,35,"{'coord': {'lon': 18.4232, 'lat': -33.9258}, 'weather': [{'id': 501, 'main': 'Rain', 'description': 'moderate rain', 'icon': '10n'}], 'base': 'stations', 'main': {'temp': 55.98, 'feels_like': 54.75, 'temp_min': 54.88, 'temp_max': 57.34, 'pressure': 1013, 'humidity': 74}, 'visibility': 10000, 'wind': {'speed': 13.8, 'deg': 40}, 'rain': {'1h': 2.03}, 'clouds': {'all': 75}, 'dt': 1660680921, 'sys': {'type': 2, 'id': 2073005, 'country': 'ZA', 'sunrise': 1660627473, 'sunset': 1660666619}, 'timezone': 7200, 'id': 3369157, 'name': 'Cape Town', 'cod': 200}",1660680921,Cape Town,ZA,-33.9258,18.4232,55.98,74.0,75.0,13.8
36,36,"{'coord': {'lon': -90.3518, 'lat': -0.7393}, 'weather': [{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}], 'base': 'stations', 'main': {'temp': 70.56, 'feels_like': 71.58, 'temp_min': 70.56, 'temp_max': 76.96, 'pressure': 1011, 'humidity': 91}, 'visibility': 10000, 'wind': {'speed': 10, 'deg': 120, 'gust': 13}, 'clouds': {'all': 100}, 'dt': 1660681184, 'sys': {'type': 2, 'id': 2005652, 'country': 'EC', 'sunrise': 1660651387, 'sunset': 1660694911}, 'timezone': -21600, 'id': 3652764, 'name': 'Puerto Ayora', 'cod': 200}",1660681184,Puerto Ayora,EC,-0.7393,-90.3518,70.56,91.0,100.0,10.0
37,37,"{'coord': {'lon': 119.9258, 'lat': 10.5208}, 'weather': [{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}], 'base': 'stations', 'main': {'temp': 81.34, 'feels_like': 87.01, 'temp_min': 81.34, 'temp_max': 81.34, 'pressure': 1009, 'humidity': 79, 'sea_level': 1009, 'grnd_level': 1007}, 'visibility': 10000, 'wind': {'speed': 9.19, 'deg': 230, 'gust': 10.29}, 'clouds': {'all': 98}, 'dt': 1660681186, 'sys': {'country': 'PH', 'sunrise': 1660686653, 'sunset': 1660731501}, 'timezone': 28800, 'id': 1696983, 'name': 'Osmeña', 'cod': 200}",1660681186,Osmeña,PH,10.5208,119.9258,81.34,79.0,98.0,9.19
